FinancialYear;PresentationType;StateOrTerritory;GeographicAreaType;GeographicAreaCode;GeographicAreaName;Measure;Value
2014–15;Mental health-related presentations;Queensland;SA4;SA4302;Brisbane - North;Number;2419
2014–15;Mental health-related presentations;Queensland;SA4;SA4302;Brisbane - North;Rate (per 10,000 population);116
2014–15;Mental health-related presentations;Queensland;SA4;SA4303;Brisbane - South;Number;3935
2014–15;Mental health-related presentations;Queensland;SA4;SA4303;Brisbane - South;Rate (per 10,000 population);114
2014–15;Mental health-related presentations;Queensland;SA4;SA4304;Brisbane - West;Number;1395
2014–15;Mental health-related presentations;Queensland;SA4;SA4304;Brisbane - West;Rate (per 10,000 population);76
2014–15;Mental health-related presentations;Queensland;SA4;SA4305;Brisbane Inner City;Number;4576
2014–15;Mental health-related presentations;Queensland;SA4;SA4305;Brisbane Inner City;Rate (per 10,000 population);181
2014–15;Mental health-related presentations;Queensland;SA4;SA4306;Cairns;Number;3013
2014–15;Mental health-related presentations;Queensland;SA4;SA4306;Cairns;Rate (per 10,000 population);124
2014–15;Mental health-related presentations;Queensland;SA4;SA4307;Darling Downs - Maranoa;Number;440
2014–15;Mental health-related presentations;Queensland;SA4;SA4307;Darling Downs - Maranoa;Rate (per 10,000 population);34
2014–15;Mental health-related presentations;Queensland;SA4;SA4308;Fitzroy;Number;2262
2014–15;Mental health-related presentations;Queensland;SA4;SA4308;Fitzroy;Rate (per 10,000 population);100
2014–15;Mental health-related presentations;Queensland;SA4;SA4309;Gold Coast;Number;5914
2014–15;Mental health-related presentations;Queensland;SA4;SA4309;Gold Coast;Rate (per 10,000 population);105
2014–15;Mental health-related presentations;Queensland;SA4;SA4310;Ipswich;Number;3966
2014–15;Mental health-related presentations;Queensland;SA4;SA4310;Ipswich;Rate (per 10,000 population);125
2014–15;Mental health-related presentations;Queensland;SA4;SA4311;Logan - Beaudesert;Number;3606
2014–15;Mental health-related presentations;Queensland;SA4;SA4311;Logan - Beaudesert;Rate (per 10,000 population);113
2014–15;Mental health-related presentations;Queensland;SA4;SA4312;Mackay;Number;1526
2014–15;Mental health-related presentations;Queensland;SA4;SA4312;Mackay;Rate (per 10,000 population);87
2014–15;Mental health-related presentations;Queensland;SA4;SA4313;Moreton Bay - North;Number;3345
2014–15;Mental health-related presentations;Queensland;SA4;SA4313;Moreton Bay - North;Rate (per 10,000 population);142
2014–15;Mental health-related presentations;Queensland;SA4;SA4314;Moreton Bay - South;Number;1534
2014–15;Mental health-related presentations;Queensland;SA4;SA4314;Moreton Bay - South;Rate (per 10,000 population);81
2014–15;Mental health-related presentations;Queensland;SA4;SA4315;Queensland - Outback;Number;961
2014–15;Mental health-related presentations;Queensland;SA4;SA4315;Queensland - Outback;Rate (per 10,000 population);113
2014–15;Mental health-related presentations;Queensland;SA4;SA4316;Sunshine Coast;Number;3085
2014–15;Mental health-related presentations;Queensland;SA4;SA4316;Sunshine Coast;Rate (per 10,000 population);90
2014–15;Mental health-related presentations;Queensland;SA4;SA4317;Toowoomba;Number;1929
2014–15;Mental health-related presentations;Queensland;SA4;SA4317;Toowoomba;Rate (per 10,000 population);128
2014–15;Mental health-related presentations;Queensland;SA4;SA4318;Townsville;Number;2976
2014–15;Mental health-related presentations;Queensland;SA4;SA4318;Townsville;Rate (per 10,000 population);128
